"Coupon Code","Type","Coupon/Discount Title","Description","Retail Store"
"TIDE10","Coupon","$10 Off Tide Laundry Detergent","Get $10 off any Tide detergent purchase over $35.","Walmart"
"BOUNTY5","Discount","$5 Off Bounty Paper Towels","Save $5 on any purchase of Bounty paper towels totaling $20 or more.","Walmart"
"CLOROXCLEAN","Coupon","15% Off Clorox Products","Take 15% off your total purchase of Clorox cleaning wipes and sprays.","Target"
"DAWN20","Discount","20% Off Dawn Dishwashing Liquid","Enjoy 20% off any Dawn dishwashing liquid, any size.","Target"
"GLADE2","Coupon","$2 Off Glade Air Fresheners","Save $2 on any Glade air freshener products.","Kroger"
"SWIFFER15","Discount","15% Off Swiffer Products","Get 15% off all Swiffer cleaning systems and refill packs.","Kroger"
"FEBREZE3","Coupon","$3 Off Febreze Fabric Refresher","Use this coupon to save $3 on Febreze fabric refresher sprays.","Publix"
"AIRWICK10","Discount","10% Off Air Wick Oil Refills","Receive 10% off when you buy any two Air Wick scented oil refills.","Publix"
"APPLE50","Coupon","$50 Off Apple Products","Get $50 off on any Apple product purchase over $400.","Walmart"
"SAMSUNG20","Discount","20% Off Samsung Electronics","Save 20% on all Samsung electronics, including tablets and TVs.","Walmart"
"SONYAUDIO15","Coupon","15% Off Sony Audio","Take 15% off Sony headphones and audio accessories.","Target"
"CANON100","Discount","$100 Off Canon Cameras","Save $100 on select Canon EOS cameras. Limited time offer.","Target"
"DYSONFAN25","Coupon","25% Off Dyson Fans","Get 25% off Dyson air purifiers and fans with this coupon.","Kroger"
"GARMINFIT","Discount","Garmin Fitness Tracker Discount","20% discount on all Garmin fitness watches.","Kroger"
"BOSEDEAL","Coupon","$30 Off Bose Products","Enjoy $30 off any Bose sound system or speaker.","Publix"
"GOOGLENEST10","Discount","10% Off Google Nest Products","10% off all Google Nest products, including thermostats and cameras.","Publix"
"SPRING20","Coupon","20% Off on Nike Apparel","Get 20% off on all Nike clothing items. Valid online and in-store.","Walmart"
"ADIDAS15","Discount","Save 15% on Adidas Track Jackets","Save 15% on any Adidas track jacket purchase.","Walmart"
"LEVIS2024","Coupon","$10 Off Levi's Jeans","Enjoy $10 off on Leviâ€™s 501 Original Jeans with this exclusive coupon.","Target"
"CKSUMMER","Coupon","25% Off Calvin Klein Underwear","Take 25% off your next purchase of Calvin Klein underwear.","Target"
"TNF25","Discount","The North Face 25% Off Sale","Get 25% off all The North Face rain jackets and apparel.","Kroger"
"COLUMBIA30","Coupon","30% Off Columbia Fleece","Save 30% on all Columbia fleece pullovers with this code.","Kroger"
"PATAGONIA15","Discount","15% Off Patagonia Tees","Get 15% off on all Patagonia Capilene Tees.","Publix"
"RAYBAN20","Coupon","20% Off Ray-Ban Sunglasses","Save 20% on Ray-Ban aviator sunglasses with this coupon.","Publix"
"NEST15","Coupon","15% Off Google Nest Doorbell","Enjoy a 15% discount on the Google Nest Products","Publix"